game_id,rating_diff,turns,rated,opening_shortname,white_experience,winner
10008,241,103,1,Slav Defense,0,White
10282,604,66,1,Slav Defense,0,Black
10284,721,40,1,Slav Defense,0,Black
10310,369,26,0,Slav Defense,0,Black
10541,15,38,1,Slav Defense,0,Black
10724,71,19,1,Slav Defense,0,White
11105,194,74,1,Slav Defense,0,White
11250,15,38,1,Slav Defense,1,Black
11457,764,70,0,Slav Defense,1,Black
11518,26,35,1,Slav Defense,5,White
11609,376,105,0,Slav Defense,2,White
11896,568,43,1,Slav Defense,12,White
11901,30,44,1,Slav Defense,0,Black
12119,29,36,1,Slav Defense,0,White
12137,255,59,1,Slav Defense,0,White
12139,126,26,1,Slav Defense,0,Black
12296,401,54,1,Slav Defense,1,Black
12323,71,98,1,Slav Defense,2,Black
12693,246,138,1,Slav Defense,0,Draw
12837,495,84,0,Slav Defense,0,Black
12950,11,28,1,Slav Defense,22,Black
12960,215,152,1,Slav Defense,32,Black
12998,107,73,1,Slav Defense,22,Black
13075,180,118,1,Slav Defense,0,Draw
13576,199,133,1,Slav Defense,11,White
13592,173,52,1,Slav Defense,0,White
13653,864,60,0,Slav Defense,22,Black
13899,9,51,1,Slav Defense,0,White
13950,8,72,1,Slav Defense,0,Black
14172,454,15,0,Slav Defense,3,White
14305,401,54,1,Slav Defense,2,Black
14834,181,68,1,Slav Defense,2,Black
14890,173,81,1,Slav Defense,0,White
15247,298,81,1,Slav Defense,28,White
15273,186,49,1,Slav Defense,7,White
15908,59,132,1,Slav Defense,30,Black
16031,713,20,1,Slav Defense,0,Black
16241,438,97,0,Slav Defense,10,White
16252,50,28,1,Slav Defense,2,Black
16266,207,128,1,Slav Defense,16,Black
16270,38,25,1,Slav Defense,20,Black
16271,173,22,1,Slav Defense,21,Black
16297,299,58,1,Slav Defense,47,Black
16387,20,259,1,Slav Defense,9,Draw
16418,37,78,1,Slav Defense,2,Black
16599,190,56,1,Slav Defense,0,Black
16689,28,17,1,Slav Defense,17,White
16720,165,42,1,Slav Defense,8,Black
16746,162,45,1,Slav Defense,25,White
16807,365,93,1,Slav Defense,0,White
17041,33,21,1,Slav Defense,43,White
17542,107,98,1,Slav Defense,14,Black
17957,49,178,1,Slav Defense,6,Black
18123,315,27,1,Slav Defense,7,Draw
18498,147,68,1,Slav Defense,23,Black
18711,255,23,0,Slav Defense,0,Draw
19050,42,12,1,Slav Defense,15,Black
19380,503,70,1,Slav Defense,8,White
19682,368,61,0,Slav Defense,0,White
2,61,16,1,Nimzowitsch Defense,1,Black
8,695,9,0,Nimzowitsch Defense,1,Black
123,25,26,1,Nimzowitsch Defense,0,Black
139,5,39,1,Nimzowitsch Defense,16,White
240,46,110,1,Nimzowitsch Defense,10,Draw
251,28,31,1,Nimzowitsch Defense,21,White
268,233,57,1,Nimzowitsch Defense,10,White
279,191,35,1,Nimzowitsch Defense,6,White
369,178,118,1,Nimzowitsch Defense,3,Black
372,146,95,1,Nimzowitsch Defense,0,White
390,217,19,1,Nimzowitsch Defense,0,White
393,109,15,1,Nimzowitsch Defense,0,White
395,74,65,1,Nimzowitsch Defense,2,White
414,123,34,0,Nimzowitsch Defense,0,White
477,588,128,1,Nimzowitsch Defense,23,Draw
568,239,64,1,Nimzowitsch Defense,41,Black
584,323,88,1,Nimzowitsch Defense,15,Black
594,692,31,1,Nimzowitsch Defense,0,White
701,53,49,1,Nimzowitsch Defense,0,White
732,143,64,1,Nimzowitsch Defense,0,Black
751,74,30,1,Nimzowitsch Defense,10,Black
807,7,75,1,Nimzowitsch Defense,28,White
818,109,52,1,Nimzowitsch Defense,0,Black
820,49,78,1,Nimzowitsch Defense,0,Black
925,516,57,1,Nimzowitsch Defense,0,White
936,136,37,1,Nimzowitsch Defense,0,White
1025,0,27,0,Nimzowitsch Defense,4,White
1026,0,76,0,Nimzowitsch Defense,5,White
1164,145,10,1,Nimzowitsch Defense,0,Black
1206,278,99,1,Nimzowitsch Defense,4,White
1221,125,95,1,Nimzowitsch Defense,10,Draw
1287,8,63,0,Nimzowitsch Defense,37,White
1332,28,58,1,Nimzowitsch Defense,8,Black
1527,105,73,1,Nimzowitsch Defense,0,White
1547,30,78,0,Nimzowitsch Defense,0,Black
1562,26,33,1,Nimzowitsch Defense,0,White
1685,27,42,1,Nimzowitsch Defense,32,Black
1687,250,21,1,Nimzowitsch Defense,34,Draw
1692,66,39,1,Nimzowitsch Defense,0,White
1728,100,61,1,Nimzowitsch Defense,0,White
1749,126,111,1,Nimzowitsch Defense,12,White
1756,16,87,1,Nimzowitsch Defense,19,Black
1769,122,9,1,Nimzowitsch Defense,4,White
1868,95,48,1,Nimzowitsch Defense,21,Black
1909,27,56,1,Nimzowitsch Defense,9,Black
1934,514,48,1,Nimzowitsch Defense,12,Black
1978,809,1,0,Nimzowitsch Defense,0,White
2058,52,45,1,Nimzowitsch Defense,40,Black
2060,15,25,1,Nimzowitsch Defense,0,Black
2071,178,75,1,Nimzowitsch Defense,10,White
2076,29,89,1,Nimzowitsch Defense,15,White
2084,36,151,1,Nimzowitsch Defense,23,White
2090,32,44,1,Nimzowitsch Defense,29,Black
2313,536,90,0,Nimzowitsch Defense,11,Draw
2446,35,100,1,Nimzowitsch Defense,0,Draw
2452,75,19,1,Nimzowitsch Defense,18,White
2456,110,37,1,Nimzowitsch Defense,0,White
2457,18,59,1,Nimzowitsch Defense,0,White
2465,6,7,1,Nimzowitsch Defense,31,White
2552,421,137,0,Nimzowitsch Defense,4,Draw
2564,29,61,1,Nimzowitsch Defense,0,White
2571,176,59,1,Nimzowitsch Defense,0,White
2573,47,53,1,Nimzowitsch Defense,0,White
2625,110,47,1,Nimzowitsch Defense,14,White
2680,0,22,0,Nimzowitsch Defense,14,Black
2737,230,44,1,Nimzowitsch Defense,28,Black
2751,514,39,1,Nimzowitsch Defense,0,White
2854,82,95,1,Nimzowitsch Defense,1,Black
2861,93,57,1,Nimzowitsch Defense,0,Black
2874,63,62,1,Nimzowitsch Defense,0,Black
2919,524,43,0,Nimzowitsch Defense,0,White
2920,524,17,0,Nimzowitsch Defense,1,White
2921,239,113,1,Nimzowitsch Defense,0,White
2924,183,23,0,Nimzowitsch Defense,1,White
2925,613,39,1,Nimzowitsch Defense,0,White
2926,4,63,1,Nimzowitsch Defense,0,White
2949,147,107,1,Nimzowitsch Defense,11,White
2981,418,35,1,Nimzowitsch Defense,0,White
3173,64,93,1,Nimzowitsch Defense,4,White
3259,91,39,0,Nimzowitsch Defense,0,White
3264,42,35,0,Nimzowitsch Defense,1,White
3416,1,8,0,Nimzowitsch Defense,3,Black
3422,1,146,0,Nimzowitsch Defense,9,Black
3427,14,119,1,Nimzowitsch Defense,1,White
3454,23,57,0,Nimzowitsch Defense,0,White
3457,130,73,0,Nimzowitsch Defense,0,White
3463,341,16,0,Nimzowitsch Defense,0,White
3465,366,106,0,Nimzowitsch Defense,0,Draw
3467,48,18,0,Nimzowitsch Defense,0,Black
3468,231,95,0,Nimzowitsch Defense,0,White
3472,229,25,0,Nimzowitsch Defense,0,Black
3473,82,59,0,Nimzowitsch Defense,0,White
3476,29,15,0,Nimzowitsch Defense,0,White
3478,275,38,0,Nimzowitsch Defense,0,Black
3479,115,18,0,Nimzowitsch Defense,0,Black
3481,34,58,0,Nimzowitsch Defense,0,Black
3482,189,31,0,Nimzowitsch Defense,0,Black
3486,44,40,0,Nimzowitsch Defense,0,Black
3488,100,56,0,Nimzowitsch Defense,0,Black
3580,373,51,1,Nimzowitsch Defense,0,White
3630,14,56,1,Nimzowitsch Defense,3,Black
3641,214,48,1,Nimzowitsch Defense,14,White
3642,239,22,1,Nimzowitsch Defense,0,Black
3673,89,12,1,Nimzowitsch Defense,25,Black
3682,200,81,1,Nimzowitsch Defense,34,White
3704,98,39,1,Nimzowitsch Defense,12,White
3705,19,35,1,Nimzowitsch Defense,13,White
3710,18,19,1,Nimzowitsch Defense,18,White
3732,158,85,1,Nimzowitsch Defense,0,White
3762,53,56,1,Nimzowitsch Defense,11,White
3851,26,87,1,Nimzowitsch Defense,34,Draw
3885,222,8,1,Nimzowitsch Defense,3,Black
3886,235,53,1,Nimzowitsch Defense,4,White
3892,221,30,1,Nimzowitsch Defense,0,Black
3894,303,70,1,Nimzowitsch Defense,0,Black
3899,36,53,1,Nimzowitsch Defense,0,White
3982,163,13,1,Nimzowitsch Defense,1,White
3984,430,43,1,Nimzowitsch Defense,1,White
4097,93,27,0,Nimzowitsch Defense,0,White
4099,93,17,0,Nimzowitsch Defense,0,White
4114,157,28,1,Nimzowitsch Defense,11,White
4116,788,1,0,Nimzowitsch Defense,1,White
4117,41,91,0,Nimzowitsch Defense,1,White
4134,363,29,0,Nimzowitsch Defense,0,White
4144,62,111,1,Nimzowitsch Defense,9,Draw
4150,54,102,1,Nimzowitsch Defense,15,Black
4246,70,54,1,Nimzowitsch Defense,0,Black
4247,76,56,1,Nimzowitsch Defense,0,Black
4251,36,27,1,Nimzowitsch Defense,0,White
4259,148,64,1,Nimzowitsch Defense,11,Black
4318,138,28,0,Nimzowitsch Defense,8,Black
4368,586,51,1,Nimzowitsch Defense,0,White
4372,326,27,1,Nimzowitsch Defense,0,White
4407,0,137,1,Nimzowitsch Defense,0,White
4474,1223,1,0,Nimzowitsch Defense,5,White
4504,40,110,1,Nimzowitsch Defense,0,Black
4506,27,62,1,Nimzowitsch Defense,0,Black
4508,72,64,1,Nimzowitsch Defense,5,Black
4515,49,100,1,Nimzowitsch Defense,2,Black
4536,1,76,1,Nimzowitsch Defense,23,Black
4580,614,77,1,Nimzowitsch Defense,1,White
4584,206,39,0,Nimzowitsch Defense,1,White
4603,273,66,1,Nimzowitsch Defense,3,Black
4681,658,63,1,Nimzowitsch Defense,3,Black
4695,313,46,0,Nimzowitsch Defense,1,Black
4713,11,39,1,Nimzowitsch Defense,1,Black
4752,110,11,1,Nimzowitsch Defense,0,White
4796,5,5,0,Nimzowitsch Defense,0,White
4829,495,1,1,Nimzowitsch Defense,1,White
4863,2,29,1,Nimzowitsch Defense,0,White
4894,83,56,1,Nimzowitsch Defense,1,White
4961,2,74,1,Nimzowitsch Defense,1,Black
5051,10,49,1,Nimzowitsch Defense,0,White
5052,35,108,1,Nimzowitsch Defense,25,Black
5080,86,23,1,Nimzowitsch Defense,18,White
5102,295,62,1,Nimzowitsch Defense,1,Black
5119,140,51,0,Nimzowitsch Defense,10,White
5176,340,68,1,Nimzowitsch Defense,0,Black
5178,212,77,1,Nimzowitsch Defense,0,White
5190,283,28,1,Nimzowitsch Defense,0,White
5192,191,19,1,Nimzowitsch Defense,28,Black
5194,74,116,1,Nimzowitsch Defense,30,Black
5200,100,93,1,Nimzowitsch Defense,0,White
5275,669,15,1,Nimzowitsch Defense,0,White
5305,207,59,1,Nimzowitsch Defense,0,White
5309,380,19,1,Nimzowitsch Defense,0,White
5310,116,15,1,Nimzowitsch Defense,0,White
5311,76,11,1,Nimzowitsch Defense,0,White
5312,38,13,1,Nimzowitsch Defense,0,White
5313,123,11,1,Nimzowitsch Defense,0,White
5331,29,45,1,Nimzowitsch Defense,0,Black
5339,59,67,1,Nimzowitsch Defense,25,White
5359,430,85,0,Nimzowitsch Defense,1,White
5369,484,35,0,Nimzowitsch Defense,0,White
5385,97,25,0,Nimzowitsch Defense,1,White
5390,14,78,0,Nimzowitsch Defense,7,Black
5427,36,147,1,Nimzowitsch Defense,22,White
5458,158,70,1,Nimzowitsch Defense,0,Black
5460,554,7,1,Nimzowitsch Defense,0,White
5461,547,7,1,Nimzowitsch Defense,1,White
5462,549,7,1,Nimzowitsch Defense,0,White
5463,541,7,1,Nimzowitsch Defense,1,White
5464,583,7,1,Nimzowitsch Defense,2,White
5465,469,7,1,Nimzowitsch Defense,2,White
5494,63,92,0,Nimzowitsch Defense,6,White
5497,696,1,0,Nimzowitsch Defense,0,White
5550,239,57,0,Nimzowitsch Defense,4,White
5572,26,59,0,Nimzowitsch Defense,13,White
5637,6,86,0,Nimzowitsch Defense,5,Black
5661,81,60,1,Nimzowitsch Defense,0,Black
5822,236,11,1,Nimzowitsch Defense,0,White
5825,2,35,1,Nimzowitsch Defense,0,White
5843,365,62,1,Nimzowitsch Defense,2,Black
5876,429,1,1,Nimzowitsch Defense,0,White
5894,69,65,1,Nimzowitsch Defense,0,White
5897,220,51,0,Nimzowitsch Defense,1,White
5901,241,16,1,Nimzowitsch Defense,4,Black
5965,5,21,1,Nimzowitsch Defense,1,White
5967,44,39,1,Nimzowitsch Defense,3,Black
6003,475,35,1,Nimzowitsch Defense,7,White
6078,583,22,1,Nimzowitsch Defense,2,Black
6080,103,3,1,Nimzowitsch Defense,0,White
6097,96,101,1,Nimzowitsch Defense,14,White
6189,209,36,1,Nimzowitsch Defense,1,Black
6210,19,55,1,Nimzowitsch Defense,9,White
6269,158,68,1,Nimzowitsch Defense,0,Black
6272,199,60,0,Nimzowitsch Defense,0,White
6297,114,39,1,Nimzowitsch Defense,1,White
6299,60,7,1,Nimzowitsch Defense,3,White
6301,17,19,1,Nimzowitsch Defense,0,White
6333,204,61,1,Nimzowitsch Defense,31,White
6351,218,76,0,Nimzowitsch Defense,0,Black
6379,66,54,1,Nimzowitsch Defense,9,Black
6392,356,13,1,Nimzowitsch Defense,0,White
6401,38,64,1,Nimzowitsch Defense,2,Black
6402,104,119,1,Nimzowitsch Defense,0,White
6403,38,38,1,Nimzowitsch Defense,0,Black
6436,65,21,1,Nimzowitsch Defense,39,White
6461,264,11,1,Nimzowitsch Defense,0,White
6471,204,121,1,Nimzowitsch Defense,9,Black
6477,199,80,1,Nimzowitsch Defense,15,Black
6499,120,31,1,Nimzowitsch Defense,37,White
6502,73,67,1,Nimzowitsch Defense,40,White
6533,110,39,1,Nimzowitsch Defense,22,White
6536,170,43,0,Nimzowitsch Defense,0,White
6542,39,32,0,Nimzowitsch Defense,0,Black
6544,19,80,1,Nimzowitsch Defense,0,Black
6545,86,23,1,Nimzowitsch Defense,0,White
6614,101,70,0,Nimzowitsch Defense,8,Black
6667,128,107,1,Nimzowitsch Defense,1,White
6691,573,43,1,Nimzowitsch Defense,0,White
6695,273,89,1,Nimzowitsch Defense,1,White
6698,445,27,1,Nimzowitsch Defense,15,Black
6717,78,56,1,Nimzowitsch Defense,4,Black
6723,155,69,0,Nimzowitsch Defense,1,White
6731,130,57,1,Nimzowitsch Defense,1,White
6808,180,52,1,Nimzowitsch Defense,9,Black
6873,257,58,1,Nimzowitsch Defense,15,Black
6896,240,92,0,Nimzowitsch Defense,0,Black
6910,120,86,0,Nimzowitsch Defense,4,Draw
6935,42,83,1,Nimzowitsch Defense,13,White
6974,1017,87,0,Nimzowitsch Defense,5,White
6995,75,104,1,Nimzowitsch Defense,0,Black
7014,36,50,1,Nimzowitsch Defense,19,Black
7020,56,51,1,Nimzowitsch Defense,0,White
7026,98,83,1,Nimzowitsch Defense,31,Black
7027,54,98,1,Nimzowitsch Defense,0,Black
7091,16,11,1,Nimzowitsch Defense,16,White
7104,190,80,1,Nimzowitsch Defense,29,Black
7129,195,58,1,Nimzowitsch Defense,13,Black
7158,136,53,1,Nimzowitsch Defense,42,White
7160,239,60,1,Nimzowitsch Defense,44,Black
7197,362,75,1,Nimzowitsch Defense,0,White
7267,119,110,1,Nimzowitsch Defense,0,Black
7271,255,128,1,Nimzowitsch Defense,0,Black
7272,35,40,1,Nimzowitsch Defense,0,Black
7277,112,4,0,Nimzowitsch Defense,0,White
7283,531,63,1,Nimzowitsch Defense,0,White
7285,34,127,1,Nimzowitsch Defense,0,White
7293,66,69,1,Nimzowitsch Defense,0,White
7300,17,58,1,Nimzowitsch Defense,1,Black
7305,54,73,1,Nimzowitsch Defense,0,White
7383,156,45,1,Nimzowitsch Defense,1,White
7396,26,26,0,Nimzowitsch Defense,0,White
7547,355,42,1,Nimzowitsch Defense,3,Black
7594,284,32,1,Nimzowitsch Defense,29,Black
7669,84,27,1,Nimzowitsch Defense,1,Black
7687,450,63,1,Nimzowitsch Defense,13,White
7764,234,39,1,Nimzowitsch Defense,0,White
7833,24,17,1,Nimzowitsch Defense,0,White
7838,988,43,0,Nimzowitsch Defense,0,White
8018,34,131,1,Nimzowitsch Defense,0,White
8035,70,37,1,Nimzowitsch Defense,27,White
8104,24,52,1,Nimzowitsch Defense,0,Black
8112,195,91,1,Nimzowitsch Defense,5,White
8123,223,63,0,Nimzowitsch Defense,7,White
8144,43,27,1,Nimzowitsch Defense,0,White
8150,34,67,1,Nimzowitsch Defense,2,White
8152,9,53,1,Nimzowitsch Defense,0,White
8154,78,30,1,Nimzowitsch Defense,6,Black
8183,104,196,1,Nimzowitsch Defense,21,Black
8205,435,69,1,Nimzowitsch Defense,1,White
8210,85,96,1,Nimzowitsch Defense,6,Black
8290,303,105,1,Nimzowitsch Defense,0,White
8299,255,97,1,Nimzowitsch Defense,0,White
8331,53,107,1,Nimzowitsch Defense,20,White
8337,297,50,1,Nimzowitsch Defense,26,Black
8343,156,17,1,Nimzowitsch Defense,0,White
8352,270,61,0,Nimzowitsch Defense,1,White
8355,199,54,0,Nimzowitsch Defense,0,Black
8379,380,83,1,Nimzowitsch Defense,19,White
8415,235,37,1,Nimzowitsch Defense,1,White
8437,76,38,1,Nimzowitsch Defense,0,Black
8467,295,33,1,Nimzowitsch Defense,0,White
8480,266,115,0,Nimzowitsch Defense,2,Draw
8518,108,23,0,Nimzowitsch Defense,3,White
8587,314,83,1,Nimzowitsch Defense,4,White
8593,91,76,1,Nimzowitsch Defense,5,Black
8602,350,60,1,Nimzowitsch Defense,0,Black
8812,181,4,0,Nimzowitsch Defense,0,Draw
8836,15,8,1,Nimzowitsch Defense,23,White
8894,325,77,1,Nimzowitsch Defense,1,White
8915,205,71,1,Nimzowitsch Defense,4,Black
8979,35,78,1,Nimzowitsch Defense,0,Black
9083,202,40,1,Nimzowitsch Defense,0,White
9097,111,83,1,Nimzowitsch Defense,9,White
9149,119,50,1,Nimzowitsch Defense,15,Black
9161,135,81,1,Nimzowitsch Defense,27,Black
9172,58,22,1,Nimzowitsch Defense,0,White
9175,5,78,1,Nimzowitsch Defense,2,Black
9181,341,75,1,Nimzowitsch Defense,0,White
9186,513,9,1,Nimzowitsch Defense,1,White
9187,636,63,1,Nimzowitsch Defense,2,White
9230,629,1,1,Nimzowitsch Defense,0,White
9233,139,50,1,Nimzowitsch Defense,27,White
9252,44,101,1,Nimzowitsch Defense,0,White
9255,253,18,0,Nimzowitsch Defense,0,Black
9279,88,66,0,Nimzowitsch Defense,21,Black
9286,76,43,0,Nimzowitsch Defense,1,White
9367,76,79,1,Nimzowitsch Defense,0,White
9370,191,58,1,Nimzowitsch Defense,2,Black
9381,192,31,1,Nimzowitsch Defense,13,White
9393,301,29,1,Nimzowitsch Defense,25,White
9415,732,36,0,Nimzowitsch Defense,0,Black
9489,174,52,0,Nimzowitsch Defense,0,White
9554,132,47,0,Nimzowitsch Defense,25,White
9600,276,25,1,Nimzowitsch Defense,0,White
9604,276,17,1,Nimzowitsch Defense,0,White
9635,185,34,1,Nimzowitsch Defense,10,Black
9639,117,41,1,Nimzowitsch Defense,14,White
9649,38,51,1,Nimzowitsch Defense,24,White
9654,112,42,1,Nimzowitsch Defense,2,Black
9754,374,47,1,Nimzowitsch Defense,7,White
9755,24,34,1,Nimzowitsch Defense,8,Black
9771,34,94,1,Nimzowitsch Defense,24,Black
9783,160,40,1,Nimzowitsch Defense,36,Black
9789,49,93,1,Nimzowitsch Defense,1,White
9791,59,112,1,Nimzowitsch Defense,3,Black
9795,106,73,1,Nimzowitsch Defense,7,White
9846,202,51,1,Nimzowitsch Defense,0,White
9852,329,30,1,Nimzowitsch Defense,0,Black
9853,299,57,1,Nimzowitsch Defense,7,Black
9879,358,24,1,Nimzowitsch Defense,0,Black
9886,86,3,1,Nimzowitsch Defense,3,White
9895,40,13,1,Nimzowitsch Defense,7,White
9897,459,13,1,Nimzowitsch Defense,1,White
9930,472,61,1,Nimzowitsch Defense,0,White
10009,147,59,1,Nimzowitsch Defense,6,White
10031,84,3,1,Nimzowitsch Defense,0,White
10032,224,65,0,Nimzowitsch Defense,0,White
10050,210,55,1,Nimzowitsch Defense,8,White
10056,429,2,1,Nimzowitsch Defense,0,Black
10057,403,2,1,Nimzowitsch Defense,1,White
10060,213,2,1,Nimzowitsch Defense,4,Black
10064,404,3,1,Nimzowitsch Defense,0,White
10065,144,15,1,Nimzowitsch Defense,8,White
10066,342,3,1,Nimzowitsch Defense,0,White
10068,353,5,1,Nimzowitsch Defense,0,White
10148,434,149,1,Nimzowitsch Defense,0,White
10149,34,83,1,Nimzowitsch Defense,1,White
10152,74,106,1,Nimzowitsch Defense,1,White
10196,207,88,1,Nimzowitsch Defense,0,White
10202,54,30,1,Nimzowitsch Defense,0,Black
10213,343,117,1,Nimzowitsch Defense,3,White
10231,114,12,1,Nimzowitsch Defense,0,Black
10264,400,9,0,Nimzowitsch Defense,5,White
10267,87,8,0,Nimzowitsch Defense,8,White
10273,545,53,1,Nimzowitsch Defense,0,White
10274,4,21,1,Nimzowitsch Defense,0,White
10280,495,41,0,Nimzowitsch Defense,0,White
10301,324,53,1,Nimzowitsch Defense,5,White
10318,422,6,1,Nimzowitsch Defense,0,Black
10320,14,29,1,Nimzowitsch Defense,0,White
10366,222,17,0,Nimzowitsch Defense,0,White
10477,54,193,1,Nimzowitsch Defense,10,White
10564,167,102,1,Nimzowitsch Defense,37,Black
10603,230,46,0,Nimzowitsch Defense,0,Black
10609,253,5,0,Nimzowitsch Defense,0,White
10615,652,9,1,Nimzowitsch Defense,1,White
10616,175,7,1,Nimzowitsch Defense,0,White
10664,331,2,1,Nimzowitsch Defense,22,White
10666,266,2,1,Nimzowitsch Defense,24,White
10716,175,53,1,Nimzowitsch Defense,3,White
10749,14,8,1,Nimzowitsch Defense,36,Black
10754,543,24,0,Nimzowitsch Defense,0,White
10833,234,35,0,Nimzowitsch Defense,1,White
10842,580,87,0,Nimzowitsch Defense,0,White
11002,440,48,1,Nimzowitsch Defense,7,White
11017,100,29,1,Nimzowitsch Defense,22,White
11029,371,39,1,Nimzowitsch Defense,34,White
11047,8,95,1,Nimzowitsch Defense,0,White
11048,166,106,1,Nimzowitsch Defense,0,Black
11121,262,44,1,Nimzowitsch Defense,0,Black
11166,504,55,1,Nimzowitsch Defense,0,White
11176,62,53,1,Nimzowitsch Defense,1,White
11273,167,102,1,Nimzowitsch Defense,85,Black
11323,208,10,0,Nimzowitsch Defense,0,White
11332,14,42,1,Nimzowitsch Defense,0,White
11452,63,47,1,Nimzowitsch Defense,7,White
11464,531,57,1,Nimzowitsch Defense,10,White
11503,1,85,1,Nimzowitsch Defense,11,White
11573,255,39,0,Nimzowitsch Defense,12,White
11648,729,67,0,Nimzowitsch Defense,22,White
11773,201,89,1,Nimzowitsch Defense,19,Black
11777,80,64,1,Nimzowitsch Defense,23,Draw
11780,131,70,1,Nimzowitsch Defense,26,Black
11799,535,73,1,Nimzowitsch Defense,45,White
11850,77,50,1,Nimzowitsch Defense,0,Black
11885,13,82,1,Nimzowitsch Defense,3,Black
11964,657,1,0,Nimzowitsch Defense,1,White
12106,107,73,1,Nimzowitsch Defense,5,Black
12118,60,121,1,Nimzowitsch Defense,17,White
12242,7,75,1,Nimzowitsch Defense,66,White
12255,62,54,1,Nimzowitsch Defense,3,Black
12269,67,80,1,Nimzowitsch Defense,17,Black
12432,16,15,1,Nimzowitsch Defense,0,White
12529,236,30,1,Nimzowitsch Defense,0,Black
12534,359,44,1,Nimzowitsch Defense,0,Black
12559,58,128,0,Nimzowitsch Defense,4,Black
12578,120,28,1,Nimzowitsch Defense,8,Black
12715,9,69,1,Nimzowitsch Defense,1,White
12763,122,67,0,Nimzowitsch Defense,12,White
12767,0,66,0,Nimzowitsch Defense,0,Black
12769,457,75,1,Nimzowitsch Defense,0,White
12821,157,137,1,Nimzowitsch Defense,0,Draw
13015,18,40,1,Nimzowitsch Defense,0,Black
13077,168,49,1,Nimzowitsch Defense,0,Black
13084,592,11,1,Nimzowitsch Defense,0,White
13176,13,114,1,Nimzowitsch Defense,4,Black
13186,115,114,1,Nimzowitsch Defense,0,Black
13273,161,31,0,Nimzowitsch Defense,0,White
13297,43,83,1,Nimzowitsch Defense,6,Black
13311,805,26,0,Nimzowitsch Defense,2,Black
13417,26,78,1,Nimzowitsch Defense,13,Black
13418,325,45,0,Nimzowitsch Defense,14,White
13419,325,55,0,Nimzowitsch Defense,15,Black
13482,371,70,1,Nimzowitsch Defense,0,Black
13486,139,41,1,Nimzowitsch Defense,5,White
13557,292,51,0,Nimzowitsch Defense,2,White
13558,772,1,0,Nimzowitsch Defense,3,White
13561,553,1,0,Nimzowitsch Defense,6,White
13562,1492,23,0,Nimzowitsch Defense,7,White
13582,384,19,0,Nimzowitsch Defense,0,White
13589,15,48,1,Nimzowitsch Defense,0,Black
13603,14,42,1,Nimzowitsch Defense,1,White
13655,256,69,0,Nimzowitsch Defense,0,White
13776,80,112,1,Nimzowitsch Defense,4,Black
13789,625,39,1,Nimzowitsch Defense,17,White
13840,67,62,0,Nimzowitsch Defense,19,Black
13853,6,103,0,Nimzowitsch Defense,32,White
13909,140,35,1,Nimzowitsch Defense,43,White
13949,8,133,1,Nimzowitsch Defense,0,White
14032,54,170,1,Nimzowitsch Defense,0,Draw
14117,83,57,1,Nimzowitsch Defense,3,Draw
14155,24,68,1,Nimzowitsch Defense,25,Black
14160,19,65,1,Nimzowitsch Defense,30,White
14243,281,45,1,Nimzowitsch Defense,0,White
14317,151,54,1,Nimzowitsch Defense,0,Black
14326,101,71,1,Nimzowitsch Defense,0,White
